"Name","House","Expansion – #","Type","Rarity","Aerc Min","Aerc Max","Amber Control","Amber Control Max","Expected Amber","Expected Amber Max","Creature Protection","Creature Protection Max","Artifact Control","Artifact Control Max","Creature Control","Creature Control Max","Effective Power","Effective Power Max","Efficiency","Efficiency Max","Recursion","Recursion Max","Disruption","Disruption Max","Other","Other Max","Raw Amber","Power","Armor","Wins","Losses","SAS traits","Synergies","Traits","Text","Flavor Text"
"Pip Pip","Logos","AGE_OF_ASCENSION – 116","Creature","Common","0.8500000000000001","1.1","0","","0","","0","","0","","0.25","0.5","2","","0","0","","","0","","0","","0","2","","16845","18580","stuns – 3 – anyHouse","protectsCreatures – 3 – anyHouse","HUMAN | SCIENTIST","After an enemy creature reaps, stun it. ","“A lead foot? I’ll give ‘em a lead foot.”"
"Zenzizenzizenzic","Logos","WORLDS_COLLIDE – 180 | DARK_TIDINGS – 031 | MASS_MUTATION – 116","Creature","Rare","3","4","0","","0","","0","","0","","0","","6","","2","0","3","","0","","0","","0","4","2","3516","3095","drawsCards – 3 – anyHouse | good – 4 – anyHouse","moves – 4 – anyHouse","CYBORG | LEADER","During your “draw cards” step, if Zenzizenzizenzic is in the center of your battleline, refill your hand to 2 additional cards.",""
"It’s Coming...","Logos | Saurian | Untamed","MASS_MUTATION – 117","Action","FIXED","1","","0","","1","","0","","0","","0","","0","","0","0","","","0","","0","","1","","","2151","1878","","","","Play: Search your deck and discard pile for either half of a gigantic creature, reveal it, and put it into your hand. Shuffle your deck.",""
"Poke","Logos","AGE_OF_ASCENSION – 117","Action","Common","1.5","","0","","1","","0","","0","","0.25","","0","","0.25","0","","","0","","0","","1","","","17778","18175","dealsDamage – 1 – anyHouse | drawsCards – 2 – anyHouse","","","Play: Deal 1D to an enemy creature. If this damage destroys that creature, draw a card.",""
"Professor Sutterkin","Logos","AGE_OF_ASCENSION – 118","Creature","Common","1.1","3.1","0","","0","","0","","0","","0","","2","","0.5","0","2.5","","0","","0","","0","2","","19453","20214","drawsCards – 3 – anyHouse | goodReap – 3 – anyHouse","lowCreatureCount – -4 – house | highCreatureCount – 2 – house | protectsCreatures – 2 – anyHouse | causesReaping – 2 – anyHouse","HUMAN | SCIENTIST","Reap: Draw a card for each friendly Logos creature. ","“I taught me everything you know.”"
"Random Access Archives","Logos","CALL_OF_THE_ARCHONS – 119","Action","Rare","2","","0","","1","","0","","0","","0","","0","","1","0","","","0","","0","","1","0","0","3692","3150","archivesRandom – 3 – anyHouse","","","Play: Archive the top card of your deck.","“3.14159, Niffles, Monosodium Glutamate...”"
"Standardized Testing","Logos","MASS_MUTATION – 080 | AGE_OF_ASCENSION – 119","Action","Common","1.5","2.5","0","","0","","0","","0","","2","3","-5","","0","0","","","0","","0","","0","","","23259","23707","destroys – 3 – anyHouse | boardClear – 1 – anyHouse","any – -2 – anyHouse | any – -1 – anyHouse | any – -1 – anyHouse | any – -2 – anyHouse","","Play: Destroy each creature with the lowest power and each creature with the highest power. ","The Logos like to call it aggressive motivation."
"Dino-Bot","Logos","MASS_MUTATION – 119","Creature","Variant","1.65","1.9","0","","0","","0","","0","","0.25","","5","","0.5","0","0.75","","0","","0","","0","5","","994","932","goodReap – 3 – anyHouse | discardsCards – 2 – anyHouse | drawsCards – 2 – anyHouse | dealsDamage – 1 – anyHouse | exalt – 1 – anyHouse","causesReaping – 3 – anyHouse","MUTANT | SCIENTIST","Play: You may exalt Dino-Bot. If you do, deal 3D to a creature.  Reap: Discard a card from your hand. If you do, draw a card.",""
"Lyco-Bot","Logos","MASS_MUTATION – 120","Creature","Variant","1.4","1.65","0","","0","","0","","0","","0","","5","","0.5","0","0.75","","0","","0","","0","4","","978","1038","goodReap – 3 – anyHouse | discardsCards – 2 – anyHouse | drawsCards – 2 – anyHouse | skirmish – 2 – anyHouse","causesReaping – 3 – anyHouse","MUTANT | SCIENTIST","Skirmish. (When you use this creature to fight, it is dealt no damage in return.) Reap: Discard a card from your hand. If you do, draw a card.",""
"Titan Librarian","Logos","AGE_OF_ASCENSION – 120","Creature","Common","1.5499999999999998","2.3","0","","0","","0","","0","","0","","4","","0.75","0","1.5","","0","","0","","0","4","","18420","18778","archives – 3 – anyHouse","highCreatureCount – 3 – house","CYBORG | SCIENTIST","At the end of your turn, if Titan Librarian is not on a flank, archive a card. ","Titan Fabrication Labs: Building a Bigger Tomorrow."
"Odd Clawde","Logos","MASS_MUTATION – 121","Creature","Variant","1.15","1.65","0.25","0.75","0","","0","","0","","0","","5","","0","0","","","0","","0","","0","5","","2980","2703","stealsAmber – 1 – anyHouse | goodAction – 2 – anyHouse","uses – 2 – anyHouse | capturesAmber – 2 – house | stealsAmber – 2 – house | card – -3 – anyHouse","MUTANT | SCIENTIST","Action: If your opponent has an odd amount of A, steal 1A.","Even Clawde has to admit that the dark æmber experiment was not entirely successful."
"Titan Mechanic","Logos","CALL_OF_THE_ARCHONS – 154 | AGE_OF_ASCENSION – 121","Creature","Common","1.25","","0","","0.25","","0","","0","","0","","6","","0","0","","","0","","0","","0","6","","48627","47910","","","CYBORG | SCIENTIST","While Titan Mechanic is on a flank, each key costs –1A.","If they come, they will build it. "
"Scrambler Storm","Logos","CALL_OF_THE_ARCHONS – 122","Action","Uncommon","3.5","","0","","1","","0","","0","","0","","0","","0","0","","","2.5","","0","","1","0","0","13704","11640","protectsCreatures – 1 – house | good – 4 – anyHouse","","","Play: Your opponent cannot play action cards on their next turn.",""
"Wild Wormhole","Logos","CALL_OF_THE_ARCHONS – 125 | WORLDS_COLLIDE – 143 | AGE_OF_ASCENSION – 122","Action","Common","0","3","0","","0","1","0","","0","","0","","0","","0","0","2","","0","","0","","1","","","83404","73721","playsCards – 3 – anyHouse","dangerousRandomPlay – -3 – anyHouse | alpha – -2 – anyHouse","","Play: Play the top card of your deck. ","“But if we ever do recover the dataprobe, think of what we will learn!” "
"Sacro-Bot","Logos","MASS_MUTATION – 122","Creature","Variant","1.9500000000000002","2.2","0","","0","","0","","0","","0","","8","","0.75","0","1","","0","","0","","0","5","2","986","926","goodReap – 3 – anyHouse | drawsCards – 3 – anyHouse | discardsCards – 3 – anyHouse","causesReaping – 3 – anyHouse","MUTANT | SCIENTIST","Reap: Discard a card from your hand. If you do, draw a card.",""
"Umbra-Bot","Logos","MASS_MUTATION – 123","Creature","Variant","1.4","1.65","0","","0","","0","","0","","0","","5","","0.5","0","0.75","","0","","0","","0","3","","1022","983","goodReap – 3 – anyHouse | drawsCards – 2 – anyHouse | discardsCards – 2 – anyHouse | elusive – 3 – anyHouse","causesReaping – 3 – anyHouse","MUTANT | SCIENTIST","Elusive. (The first time this creature is attacked each turn, no damage is dealt.) Reap: Discard a card from your hand. If you do, draw a card.",""
"Z.Y.X. Researcher","Logos","AGE_OF_ASCENSION – 123","Creature","Common","1.6","2.6","0","","0","","0","","0","","0","","2","","0.5","0.5","1","1","0","","0","","0","2","","21216","21605","goodPlay – 3 – anyHouse | archives – 3 – anyHouse","good – 2 – anyHouse","HUMAN | SCIENTIST","Play: Archive the top card of your deck or the top card of your discard pile. ","“We only concern ourselves with ‘can’; let the Sanctum worry about ‘should’.”"
"Xeno-Bot","Logos","MASS_MUTATION – 124","Creature","Variant","1.3","1.5499999999999998","0","","0","","0","","0","","0","","4","","0.5","0","0.75","","0","","0","","0","4","","999","980","goodReap – 3 – anyHouse | drawsCards – 2 – anyHouse | discardsCards – 2 – anyHouse","causesReaping – 3 – anyHouse","MUTANT | SCIENTIST","Fight: Look at the top 3 cards of your deck. Put 1 into your hand and 1 on the bottom of your deck. Reap: Discard a card from your hand. If you do, draw a card.",""
"Backup Copy","Logos","AGE_OF_ASCENSION – 124","Upgrade","Uncommon","1","","0","","1","","0","","0","","0","","0","","0","0","","","0","","0","","1","","","6796","7328","replays – 2 – anyHouse","","","This creature gains, “Destroyed: Put this creature on top of your deck.” ","”It’s so cute! I want another one.” – Dextre"
"Bouncing Deathquark","Logos","CALL_OF_THE_ARCHONS – 107 | MASS_MUTATION – 082 | DARK_TIDINGS – 035 | AGE_OF_ASCENSION – 125","Action","Uncommon","1.5","4","0","","0","","0","","0","","2","4.5","-5","","0","0","","","0","","0","","0","","","20366","19652","destroys – 3 – anyHouse | boardClear – 1 – anyHouse | good – 2 – anyHouse","regenerates – 3 – anyHouse | card – 2 – anyHouse","","Play: Destroy an enemy creature and a friendly creature. You may repeat this effect as many times as you like, as long as it is possible to repeat the entire effect.",""
"Ultra Gravitron","Logos","MASS_MUTATION – 125","Creature","Rare","5.25","9.5","0","","0","","0","","0","","0.5","2","16","","2.5","0","5","","0","","0.25","0.5","0","10","3","1940","1478","archivesRandom – 4 – anyHouse | good – 4 – anyHouse","card – 4 – anyHouse | card – 3 – outOfHouse | card – 2 – anyHouse | causesReaping – 1 – anyHouse | causesFighting – 1 – anyHouse | archivesRandom – 1 – anyHouse | archives – 1 – anyHouse","ROBOT","(Play only with the other half of Ultra Gravitron.) Play: Archive the top 5 cards of your deck. Fight/Reap: Discard a card from your archives. If you do, purge a creature and resolve each of its bonus icons as if you had played it.","“Go go Ultra Gravitron!”"
"Brain Eater","Logos","CALL_OF_THE_ARCHONS – 137 | DARK_TIDINGS – 036 | AGE_OF_ASCENSION – 126","Creature","Uncommon","1.5","","0","","0","","0","","0","","0","","6","","0.5","0","","","0","","0","","0","6","","19169","18770","drawsCards – 3 – anyHouse | goodFight – 2 – anyHouse","","CYBORG | BEAST","After a creature is destroyed fighting Brain Eater, draw a card.",""
"Director of Z.Y.X.","Logos","AGE_OF_ASCENSION – 127","Creature","Uncommon","1.9","2.4","0","","0","","0","","0","","0","","5","","1","0","1.5","","0","","0","","0","3","","10284","10307","elusive – 3 – anyHouse | archivesRandom – 3 – anyHouse","protectsFromEffects – 2 – anyHouse","CYBORG | SCIENTIST","Elusive. (The first time this creature is attacked each turn, no damage is dealt.) At the start of your turn, archive the top card of your deck.",""
"Babbling Bibliophile","Logos","WORLDS_COLLIDE – 129","Creature","Common","0.75","1.25","0","","0","","0","","0","","0","","1","","0.25","0","0.75","","0","","0","","0","1","","17398","17363","goodReap – 3 – anyHouse | drawsCards – 3 – anyHouse","protectsCreatures – 2 – anyHouse | causesReaping – 2 – anyHouse","CYBORG | SCIENTIST","Reap: Draw 2 cards.","…numbers in accordance with psychological impulse theory as determined by Descartides, as I am sure I do not have to remind you, all of which is irrelevant as I’ve just noticed that this has been digitally preserved for 2.1 decimal patching…"
"Interdimensional Graft","Logos","WORLDS_COLLIDE – 152 | CALL_OF_THE_ARCHONS – 112 | AGE_OF_ASCENSION – 130","Action","Uncommon","2","6","0.5","2.5","1.5","3.5","0","","0","","0","","0","","0","0","","","0","","0","","1","","","29277","26743","scalingAmberControl – 3 – anyHouse | good – 4 – anyHouse","increasesKeyCost – 2 – anyHouse | card – 3 – house | archives – 1 – anyHouse","","Play: If an opponent forges a key on their next turn, they must give you their remaining A.",""
"Jargogle","Logos","WORLDS_COLLIDE – 153 | AGE_OF_ASCENSION – 131","Creature","Uncommon","2.05","","0","","0","","0","","0","","0","","4","","1.25","0","","","0","","0","","0","2","","15065","14914","elusive – 3 – anyHouse | archives – 3 – anyHouse | goodDestroyed – 3 – anyHouse | playsFromOtherHouse – 2 – anyHouse","","MUTANT | BEAST","Elusive. Play: Put a card from your hand facedown under Jargogle. Destroyed: If it is your turn, play the card under Jargogle; otherwise, archive that card.",""
"Memory Chip","Logos","WORLDS_COLLIDE – 154 | AGE_OF_ASCENSION – 132","Artifact","Uncommon","2.25","","0","","0","","0","","0","","0","","0","","2.25","0","","","0","","0","","0","","","13602","13953","archives – 4 – anyHouse","","ITEM","After you choose Logos as your active house, archive a card.",""
"Spangler Box","Logos","CALL_OF_THE_ARCHONS – 132","Artifact","Rare","1","","0","","0","","0","","0","","1.5","","-5","","0","0","","","0","","0","","0","0","0","2995","2837","usableArtifact – 3 – anyHouse | purges – 3 – anyHouse","","ITEM","Action: Purge a creature in play. If you do, your opponent gains control of Spangler Box. If Spangler Box leaves play, return to play all cards purged by Spangler Box.",""
"Quantum Fingertrap","Logos","WORLDS_COLLIDE – 157 | AGE_OF_ASCENSION – 133","Artifact","Uncommon","1","","0","","1","","0","","0","","0","","0","","0","0","","","0","","0","","1","","","13275","13625","usableArtifact – 3 – anyHouse | moves – 3 – anyHouse","","ITEM","Action: Swap the positions of two creatures in a battleline. ","So if you push forward in space, and I pull backward in time…"
"Spectral Tunneler","Logos","CALL_OF_THE_ARCHONS – 133","Artifact","Uncommon","1.5","","0","","1","","0","","0","","0","","0","","0.5","0","","","0","","0","","1","0","0","10736","10021","usableArtifact – 3 – anyHouse | drawsCards – 3 – anyHouse","","ITEM","Action: Choose a creature. For the remainder of the turn, that creature is considered a flank creature and gains, “Reap: Draw a card.”",""
"Remote Access","Logos","WORLDS_COLLIDE – 159 | CALL_OF_THE_ARCHONS – 120 | AGE_OF_ASCENSION – 134","Action","Uncommon","1.75","","0","","1","","0","","0.5","","0","","0","","0","0","","","0","","0.25","","1","","","26050","24873","uses – 3 – anyHouse","","","Play: Use an opponent’s artifact as if it were yours.",""
"Hapsis","Logos","WORLDS_COLLIDE – 134","Creature","Common","1.4500000000000002","2.1","0","","0","","0","","0","","0","","8","12","0.25","0","0.5","","0","","0","","0","5","","19041","18766","goodFight – 3 – anyHouse | drawsCards – 3 – anyHouse","causesFighting – 3 – anyHouse","MUTANT | SCIENTIST","After an enemy creature is destroyed fighting Hapsis, ward Hapsis and draw a card.",""
"Hologrammophone","Logos","WORLDS_COLLIDE – 135","Artifact","Common","1.75","","0","","1","","0.75","","0","","0","","0","","0","0","","","0","","0","","1","","","19186","18127","ward – 4 – anyHouse | protectsCreatures – 2 – anyHouse | preventsRemoval – 2 – anyHouse | protectsFromEffects – 2 – anyHouse | usableArtifact – 3 – anyHouse","","ITEM","Action: Ward a creature. ","“Hard light constructs provide a nice protective bubble, with a beat you can dance to!”"
"Research Smoko","Logos","MASS_MUTATION – 096 | CALL_OF_THE_ARCHONS – 151 | AGE_OF_ASCENSION – 135","Creature","Uncommon","1.1","1.35","0","","0","","0","","0","","0","","2","","0.5","0","0.75","","0","","0","","0","2","","20508","19937","goodDestroyed – 3 – anyHouse | archivesRandom – 3 – anyHouse","archives – -3 – anyHouse","MUTANT","Destroyed: Archive the top card of your deck.",""
"Batdrone","Logos","CALL_OF_THE_ARCHONS – 136","Creature","Common","1.3","1.7999999999999998","0.5","1","0","","0","","0","","0","","4","","0","0","","","0","","0","","0","2","0","31298","29446","goodFight – 3 – anyHouse | skirmish – 3 – anyHouse | stealsAmber – 2 – anyHouse","protectsCreatures – 3 – anyHouse | causesFighting – 3 – anyHouse","ROBOT","Skirmish. (When you use this creature to fight, it is dealt no damage in return.)Fight: Steal 1<A>.","The worst part is the singing."
"Rocket Boots","Logos","CALL_OF_THE_ARCHONS – 158 | AGE_OF_ASCENSION – 136","Upgrade","Uncommon","0.5","1.5","0","","0.5","1.5","0","","0","","0","","0","","0","0","","","0","","0","","0","","","16333","16547","causesReaping – 3 – house","goodReap – 3 – house | skirmish – 3 – house | skirmish – 2 – outOfHouse","","This creature gains, “Fight/Reap: If this is the first time this creature was used this turn, ready it.” ","”Wheeeee!”"
"Seismo-entangler","Logos","WORLDS_COLLIDE – 160 | AGE_OF_ASCENSION – 137","Artifact","Uncommon","1","","0","","0","","0","","0","","1","","0","","0","0","","","0","","0","","0","","","12157","13005","usableArtifact – 3 – anyHouse","","ITEM","Action: Choose a house. During your opponent’s next turn, creatures of the chosen house cannot be used to reap.",""
"Quant","Logos","WORLDS_COLLIDE – 137","Creature","Common","1.2000000000000002","1.7000000000000002","0","","0","","0","","0","","0","","3","","0.5","0","1","","0","","0","","0","3","","17767","17203","playsCards – 3 – anyHouse | goodReap – 3 – anyHouse | playsFromOtherHouse – 3 – outOfHouse","causesReaping – 2 – anyHouse | protectsCreatures – 2 – anyHouse","HUMAN | SCIENTIST","Reap: You may play one non-Logos action card this turn. ","“Just let me check my calendar real quick…”"
"Sloppy Labwork","Logos","CALL_OF_THE_ARCHONS – 123 | MASS_MUTATION – 097 | AGE_OF_ASCENSION – 138","Action","Uncommon","3","3.5","0","","1","","0","","0","","0","","0","","2","0","2.5","","0","","0","","1","","","24638","22319","discardsCards – 3 – anyHouse | archives – 3 – anyHouse | good – 3 – anyHouse","drawsCards – 3 – house | increasesHandSize – 3 – anyHouse","","Play: Archive a card. Discard a card. ","Don’t fret the details. Progress happens when you least expect it."
"Dextre","Logos","CALL_OF_THE_ARCHONS – 138","Creature","Common","0.7","","0.5","","0","","0","","0","","0","","3","","-0.5","0","","","0","","0","","0","3","0","27206","26448","capturesAmber – 3 – anyHouse | revealsTopDeck – 3 – anyHouse","","HUMAN | SCIENTIST","Play: Capture 1<A>.Destroyed: Put Dextre on top of your deck.",""
"Sanitation Engineer","Logos","WORLDS_COLLIDE – 138","Creature","Common","1.15","","0","","0","","0","","0","","0","","5","","0.25","0","","","0","","0","","0","4","","17343","17260","discardsCards – 3 – anyHouse | goodReap – 2 – anyHouse","","CYBORG | SCIENTIST","Hazardous 1. (Before this creature is attacked, deal 1D to the attacking enemy.) Reap: Discard a card from your hand.","“I tell you, the garbage I deal with every day…”"
"Tautau Vapors","Logos","WORLDS_COLLIDE – 139","Action","Common","3","","0","","0","","0","","0","","0","","0","","3","0","","","0","","0","","0","","","22007","19411","drawsCards – 3 – anyHouse | archives – 3 – anyHouse | good – 3 – anyHouse","","","Play: Draw 2 cards. Archive a card.","Productivity will improve dramatically—once we work out the side effects."
"[REDACTED]","Logos","MASS_MUTATION – 110 | AGE_OF_ASCENSION – 139","Artifact","Rare","1","3","0","","0","","0","","0","","0","","0","","0","0","","","0","","1","3","0","","","3250","3216","forgesKeys – 3 – anyHouse","card – 3 – anyHouse | card – 3 – anyHouse | card – 3 – anyHouse","[REDACTED]","After you choose Logos as your active house, place 1A from the common supply on [REDACTED]. When there are 4 or more A on [REDACTED], sacrifice it and forge a key at no cost.",""
"Doc Bookton","Logos","CALL_OF_THE_ARCHONS – 139","Creature","Common","1.4","1.65","0","","0","","0","","0","","0","","5","","0.5","0","0.75","","0","","0","","0","5","0","33089","30742","drawsCards – 3 – anyHouse | goodReap – 2 – anyHouse","causesReaping – 3 – anyHouse","HUMAN | SCIENTIST","Reap: Draw a card.","“Don’t worry, Momo. We’ll have this quantum death ray installed in no time.”"
"Thorium Plasmate","Logos","WORLDS_COLLIDE – 140","Action","Common","1.5","","0","","1","","0","","0","","0.5","","0","","0","0","","","0","","0","","1","","","18966","17799","moves – 3 – anyHouse | dealsDamage – 2 – anyHouse","","","Play: Move an enemy creature anywhere in its controller’s battleline. Deal 2D to that creature for each of its neighbors that shares a house with it.",""
"Chaos Portal","Logos","WORLDS_COLLIDE – 162 | CALL_OF_THE_ARCHONS – 127 | AGE_OF_ASCENSION – 140","Artifact","Rare","0.5","1","0","","0","","0","","0","","0","","0","","0.5","0","1","","0","","0","","0","","","6520","6764","usableArtifact – 3 – anyHouse | playsCards – 3 – anyHouse | revealsTopDeck – 3 – house","dangerousRandomPlay – -2 – anyHouse | revealsTopDeck – 3 – anyHouse","LOCATION","Action: Choose a house. Reveal the top card of your deck. If it is of that house, play it.",""
"Dr. Escotera","Logos","CALL_OF_THE_ARCHONS – 140","Creature","Common","1.7999999999999998","2.05","0","","1","1.25","0","","0","","0","","4","","0","0","","","0","","0","","0","4","0","31334","28914","goodPlay – 3 – anyHouse","replays – 3 – house","CYBORG | SCIENTIST","Play: Gain 1<A> for each forged key your opponent has.","“Interesting reaction, but what does it mean?”"
"Crazy Killing Machine","Logos","CALL_OF_THE_ARCHONS – 128 | WORLDS_COLLIDE – 163 | AGE_OF_ASCENSION – 141","Artifact","Rare","1.5","","0","","0","","0","","0.75","","0.75","","0","","0","0","","","0","","0","","0","","","6974","7186","usableArtifact – 3 – anyHouse | destroys – 3 – anyHouse","","WEAPON","Action: Discard the top card of each player’s deck. For each of those cards, destroy a creature or artifact of that card’s house, if able. If 2 cards are not destroyed as a result of this, destroy Crazy Killing Machine.",""
"Titan Guardian","Logos","WORLDS_COLLIDE – 141","Creature","Common","2","","0","","0","","0.25","","0","","0","","6","","0.75","0","","","0","","0","","0","5","1","20182","19082","goodDestroyed – 3 – anyHouse | protectsCreatures – 3 – anyHouse | preventsFighting – 3 – anyHouse","","CYBORG | BEAST","Taunt. (This creature’s neighbors cannot be attacked unless they have taunt.) Destroyed: If Titan Guardian is not on a flank, draw 2 cards.",""
"Twin Bolt Emission","Logos","CALL_OF_THE_ARCHONS – 124 | WORLDS_COLLIDE – 142","Action","Common","2","","0","","1","","0","","0","","1","","0","","0","0","","","0","","0","","1","","","56620","50149","dealsDamage – 3 – anyHouse | damagesMultiple – 2 – anyHouse","","","Play: Deal 2D to a creature and deal 2D to a different creature.",""
"Dysania","Logos","WORLDS_COLLIDE – 164 | CALL_OF_THE_ARCHONS – 141 | AGE_OF_ASCENSION – 142","Creature","Rare","2.8","3.8","0","","1","1.5","0","","0","","0","","4","","0","0","","","1","1.5","0","","0","4","","8209","8010","goodPlay – 3 – anyHouse | good – 3 – anyHouse","archives – 3 – anyHouse | archivesRandom – 3 – anyHouse | replays – 3 – house","MUTANT","Play: Your opponent discards each of their archived cards. You gain 1A for each card discarded this way.",""
"Ganymede Archivist","Logos","CALL_OF_THE_ARCHONS – 142","Creature","Common","1.4500000000000002","2.2","0","","0","","0","","0","","0","","3","","0.75","0","1.5","","0","","0","","0","3","0","31617","29416","goodReap – 3 – anyHouse | archives – 3 – anyHouse","protectsCreatures – 3 – anyHouse | causesReaping – 3 – anyHouse","HUMAN | SCIENTIST","Reap: Archive a card.","“They offered to let my crew stay with them. I politely declined.” –Captain Val Jericho"
"Fetchdrones","Logos","WORLDS_COLLIDE – 166 | AGE_OF_ASCENSION – 144","Artifact","Rare","0.5","1","0.5","1","0","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","3647","3843","putsAmberOnTarget – 3 – anyHouse | usableArtifact – 3 – anyHouse | capturesAmber – 3 – anyHouse","card – 4 – anyHouse | card – 4 – anyHouse","ITEM","Action: Discard the top 2 cards of your deck. For each Logos card discarded this way, a friendly creature captures 2A.",""
"Quixo the “Adventurer”","Logos","MASS_MUTATION – 079 | CALL_OF_THE_ARCHONS – 144","Creature","Common","1.15","1.4","0","","0","","0","","0","","0","","5","","0.25","0","0.5","","0","","0","","0","3","0","35813","35062","skirmish – 3 – anyHouse | drawsCards – 3 – anyHouse | goodFight – 3 – anyHouse","causesFighting – 2 – anyHouse","HUMAN | SCIENTIST","Skirmish. (When you use this creature to fight, it is dealt no damage in return.)Fight: Draw a card.","“...I’ll leave this part out of the memoir.”"
"Wormhole Technician","Logos","WORLDS_COLLIDE – 144","Creature","Common","1.4500000000000002","2.2","0","","0","","0","","0","","0","","3","","0.75","0","1.5","","0","","0","","0","3","","18937","18365","playsCards – 3 – anyHouse | goodReap – 3 – anyHouse | archivesRandom – 3 – outOfHouse","dangerousRandomPlay – -3 – house | causesReaping – 3 – anyHouse","CYBORG | SCIENTIST","Reap: Reveal the top card of your deck. If it is a Logos card, play it. Otherwise, archive it.",""
"Harland Mindlock","Logos","CALL_OF_THE_ARCHONS – 143 | AGE_OF_ASCENSION – 145","Creature","Rare","0.75","1.25","0","","0","","0","","0","","0.25","0.5","1","","0","0","","","0","","0","0.25","0","1","","0","0","controls – 2 – anyHouse","protectsCreatures – 3 – anyHouse | uses – 2 – anyHouse","CYBORG | SCIENTIST","Play: Take control of an enemy flank creature until Harland Mindlock leaves play.",""
"Mother","Logos","CALL_OF_THE_ARCHONS – 145","Creature","Common","3.4","","0","","0","","0","","0","","0","","5","","2.5","0","","","0","","0","","0","5","0","43443","36992","increasesHandSize – 3 – anyHouse | good – 3 – anyHouse","","ROBOT | SCIENTIST","During your “draw cards” step, refill your hand to 1 additional card.","“Of course she’s necessary, she’s the mother of all invention!”"
"C.Æ.N.D.L.E. Unit","Logos","WORLDS_COLLIDE – 146","Creature","Uncommon","2.5","","0.25","","0","","0","","0","","0.75","","6","","0.5","0","","","0","","0","","0","5","1","8031","7285","drawsCards – 3 – anyHouse | capturesAmber – 2 – anyHouse | good – 2 – anyHouse","","ROBOT","After an enemy creature reaps, draw a card. Action: Capture 1A.","“Knowledge can be very enlightening.” – Quixo the ”Adventurer”"
"Knowledge is Power","Logos","WORLDS_COLLIDE – 168 | CALL_OF_THE_ARCHONS – 113 | DARK_TIDINGS – 019 | AGE_OF_ASCENSION – 147","Action","Rare","1","5","0","","0","4","0","","0","","0","","0","","1","0","","","0","","0","","0","","","8060","7783","archives – 3 – anyHouse | good – 3 – anyHouse","archivesRandom – 1 – anyHouse | archives – 1 – anyHouse","","Play: Choose one: Archive a card, or, for each archived card you have, gain 1A.",""
"Code Monkey","Logos","WORLDS_COLLIDE – 147","Creature","Uncommon","1.4500000000000002","2.2","0","","0.5","1","0","","0","","0","","3","","0","0.25","","0.5","0","","0","","0","3","","7373","7157","goodPlay – 2 – anyHouse | deploy – 3 – anyHouse | archives – 3 – anyHouse | replays – 3 – anyHouse","replays – 2 – house","AI | BEAST","Deploy. (This creature can enter play anywhere in your battleline.) Play: Archive each neighboring creature. If those creatures share a house, gain 2A.",""
"Neutron Shark","Logos","WORLDS_COLLIDE – 171 | CALL_OF_THE_ARCHONS – 146 | AGE_OF_ASCENSION – 149","Creature","Rare","3.5","5.5","0","","0","","0","","1.5","2.5","1.5","2.5","1","","0","0","","","0","","0","","0","1","","10174","9040","goodPlay – 3 – anyHouse | destroys – 3 – anyHouse | boardClear – 1 – anyHouse | mills – 2 – anyHouse | good – 4 – anyHouse","regenerates – 4 – anyHouse | returns_R_FromDiscard – 3 – anyHouse","MUTANT | BEAST","Play/Fight/Reap: Destroy an enemy creature or artifact and a friendly creature or artifact. Discard the top card of your deck. If that card is not a Logos card, trigger this effect again.",""
"Psychic Bug","Logos","CALL_OF_THE_ARCHONS – 149","Creature","Rare","2.1","","0","","1","","0","","0","","0","","2","","0","0","","","0","","0.5","","1","2","0","4180","3765","revealsHand – 3 – anyHouse | goodPlay – 2 – anyHouse","","CYBORG | INSECT","Play/Reap: Look at your opponent’s hand.","“I’d make more, but I discovered lesser minds aren’t worth reading.” – Biologician Moreau"
"Dr. Milli","Logos","WORLDS_COLLIDE – 150","Creature","Uncommon","1.1","2.1","0","","0","","0","","0","","0","","2","","0.5","0","1.5","","0","","0","","0","2","","6883","6489","archives – 3 – anyHouse | goodPlay – 3 – anyHouse","highCreatureCount – -3 – anyHouse | lowCreatureCount – 3 – anyHouse | shuffles_R_IntoDeck – 3 – anyHouse","SCIENTIST","Play: For each creature your opponent controls in excess of you, not counting Dr. Milli, archive a card.",""
"Ozmo, Martianologist","Logos","CALL_OF_THE_ARCHONS – 148 | AGE_OF_ASCENSION – 150","Creature","Rare","0.8","1","0","","0","","0","","0","","0","","4","6","0","0","","","0","","0","","0","2","","5167","5352","elusive – 3 – anyHouse","hasMars – 3 – anyHouse","HUMAN | SCIENTIST","Elusive. (The first time this creature is attacked each turn, no damage is dealt.) Fight/Reap: Heal 3 damage from a Mars creature or stun a Mars creature.",""
"Pocket Universe","Logos","WORLDS_COLLIDE – 172 | CALL_OF_THE_ARCHONS – 131 | AGE_OF_ASCENSION – 151","Artifact","Rare","0","0.5","0","","0","","0","","0","","0","","0","","0","0","","","0","","0","0.5","0","","","6360","6778","usableArtifact – 3 – anyHouse","destroys – -4 – anyHouse","ITEM","You may spend A on Pocket Universe when forging keys. Action: Move 1A from your pool to Pocket Universe.",""
